goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/sdk/metric/internal/aggregate
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12832801	        84.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1011 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1216923	      1028 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1066 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1198212	       991.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1063 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1015 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1204028	      1035 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1043 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3269596	       347.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3237217	       365.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3309460	       342.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3181944	       354.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3136028	       357.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3345159	       348.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3345584	       351.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3097239	       350.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3257766	       373.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 3198373	       354.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  116356	     10723 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  111188	     11146 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  109912	     10565 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  112994	     10761 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  122049	     10268 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  121502	     10341 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  119794	     11044 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  117589	     10230 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  123240	     10678 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  122952	     11023 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  559370	      1974 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  591718	      1987 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  596125	      2061 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  601368	      1987 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  602349	      2152 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  557488	      2047 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  600099	      2087 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  592650	      2036 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  566413	      2146 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  576310	      2127 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13567838	       101.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12627882	        96.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13880398	        98.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13438856	        91.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13551433	        92.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12615459	        98.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12291924	        94.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13374356	        92.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13105550	        91.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	13308955	        91.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3140188	       393.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2963001	       352.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3707602	       408.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3196657	       387.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3252639	       396.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3148338	       393.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3130227	       395.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3203203	       405.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3069350	       406.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2998692	       397.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1086 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1079 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1145 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1142 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1174 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  847432	      1619 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  841924	      1561 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  766815	      1663 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  803617	      1611 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  837134	      1583 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  839544	      1675 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  838986	      1580 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  839352	      1617 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  836071	      1569 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  829735	      1728 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  119364	     10702 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  116712	     11295 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  120844	     11580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  116643	     10542 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  102613	     10862 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  107965	     10792 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  109129	     11361 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  116842	     10459 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  118702	     11221 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  109262	     11172 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   87906	     13428 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   84370	     13726 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   83199	     13387 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   83788	     14235 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   89572	     14089 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   90222	     13411 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   83817	     13824 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   90033	     14293 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   90631	     13483 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   89948	     13451 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	13048044	       100.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	11987622	        97.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12525115	       100.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	13802107	        94.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12701176	        96.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	13829084	        99.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	13854591	        95.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12327361	        99.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12124970	        94.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	13713087	        95.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4489012	       260.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 6131644	       235.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4632294	       266.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4628036	       250.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4807899	       227.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4751396	       266.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4661839	       277.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4715024	       265.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4595482	       257.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4679578	       267.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	  987913	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1093 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1095 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1153 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1139 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1085 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1079 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1099 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1152 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1159 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 2905521	       380.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3015876	       376.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 2984940	       377.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 2803021	       379.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3029174	       384.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3032427	       376.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3127575	       371.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 2893978	       376.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3120540	       393.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 3036336	       373.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  113311	     10637 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  101358	     10624 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  119534	     10586 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  120386	     10504 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  112252	     10711 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  117482	     11275 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  106592	     10528 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  113810	     11263 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  114720	     11215 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  114590	     10463 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  509122	      2274 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  575350	      2251 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  519496	      2260 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  557757	      2195 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  560943	      2226 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  536691	      2229 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  534720	      2230 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  572613	      2222 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  537004	      2255 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  560804	      2219 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12123902	        95.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12743845	        94.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12899218	        93.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12742275	        93.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12949663	        93.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	13187468	        93.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	13722506	        94.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12600060	        95.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	13934244	        98.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	13383878	        94.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3353437	       359.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3255859	       410.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2982471	       408.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3210732	       382.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3182137	       379.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3026965	       390.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3081061	       426.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3116241	       406.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3114680	       422.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2998998	       426.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1104 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1043538	      1140 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1151 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1108 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1107 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1078 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1122 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1097 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1073 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  823614	      1612 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  827082	      1627 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  802323	      1591 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  813440	      1643 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  806421	      1597 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  827452	      1604 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  663091	      1570 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  829683	      1643 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  792718	      1584 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  815619	      1605 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  116443	     10993 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  108036	     10998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  120033	     11305 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  115340	     11346 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  118672	     10674 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  116216	     10694 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  111798	     10779 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  109923	     10593 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  114754	     10681 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  114912	     10909 ns/op	       0 B/op	       0 allocs/op
