goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/sdk/metric/internal/aggregate
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12132796	        93.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4386769	       279.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4363788	       292.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4401888	       255.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4217253	       274.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4400745	       274.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1253 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1245 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1145 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1128 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1126 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1164 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	  979124	      1217 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1000000	      1144 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1298989	       894.0 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1373443	       849.0 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1356570	       901.1 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1356979	       890.5 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1333526	       911.2 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1395523	       923.8 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1403545	       892.4 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1310388	       868.4 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1369364	       888.6 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/ComputeAggregation-8        	 1345185	       916.0 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	   94935	     12383 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  107889	     11759 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  111279	     11960 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  112885	     12519 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  107937	     11202 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  110437	     11870 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  100900	     12567 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  111282	     11760 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  113372	     11739 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/Measure-8                  	  114145	     12336 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  245482	      5285 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  271778	      4906 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  260509	      5743 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  267429	      4674 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  302884	      4892 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  268592	      4879 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  266072	      4822 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  270511	      4864 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  274407	      4815 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/100/ComputeAggregation-8       	  271594	      4929 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	11385399	       101.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12100845	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12826288	        98.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12628515	       100.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	11870608	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12326151	        99.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12655506	       101.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	10499667	       103.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12974182	        97.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/Measure-8                         	12771733	        99.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2884323	       428.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2979914	       441.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2989824	       466.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2992849	       445.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 3000021	       440.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2961950	       472.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2979852	       435.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2999700	       439.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2830801	       419.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/1/ComputeAggregation-8              	 2793336	       437.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1164 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1179 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1149 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1191 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	  915872	      1243 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	  927121	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1233 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/Measure-8                        	 1000000	      1118 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  599412	      2121 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  654458	      2183 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  650170	      2074 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  652510	      2133 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  651919	      2049 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  594951	      2136 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  610920	      2032 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  644576	      2192 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  613749	      2111 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/10/ComputeAggregation-8             	  620232	      2128 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  104808	     11285 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  104690	     12494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  112671	     12503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  112759	     11156 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  101668	     11244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  108952	     11321 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  105589	     12447 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	   99166	     11547 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  101821	     11564 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/Measure-8                       	  113941	     11583 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   71049	     17286 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   78675	     17062 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   73201	     17110 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   74734	     17271 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   70824	     17682 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   73806	     18246 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   76288	     17917 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   73734	     17663 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   71109	     18042 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Int64/Delta/100/ComputeAggregation-8            	   76170	     17803 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12238096	       113.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12818384	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12864472	        99.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	11823811	       103.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	11600403	        99.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12240856	       100.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12507694	       100.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	11993076	        99.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	12453760	       100.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/Measure-8                  	11975506	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4181683	       292.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4493882	       250.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4455595	       270.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4379696	       244.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4286300	       271.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4433268	       240.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4278093	       264.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4840934	       241.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 4353639	       262.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/1/ComputeAggregation-8       	 3996886	       259.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	  943964	      1235 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1014638	      1180 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	  885234	      1265 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	  932336	      1207 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1173 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1275 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1271 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	 1000000	      1220 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/Measure-8                 	  995424	      1170 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1319526	       876.5 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1310713	       878.1 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1322535	       903.1 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1340648	       937.2 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1326606	       881.4 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1320040	       936.7 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1352618	       911.7 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1290936	       894.3 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1300735	       916.0 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/10/ComputeAggregation-8      	 1000000	      1033 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	   91390	     13717 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	   92311	     11566 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  101764	     12257 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  110319	     12129 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	   98139	     11888 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  107817	     11988 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  108433	     12594 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  104708	     11713 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  107071	     11839 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/Measure-8                	  106276	     12501 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  202286	      5498 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  274892	      5137 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  253311	      5372 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  297381	      4873 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  275394	      5185 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  277260	      4922 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  272193	      4987 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  277756	      4980 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  267218	      5189 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Cumulative/100/ComputeAggregation-8     	  277479	      5222 ns/op	    9760 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	11135397	       100.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12037850	       103.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12822570	       103.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12846072	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12350216	        98.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12719412	        99.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12680097	        99.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12092605	        98.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12589422	       108.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/Measure-8                       	12316093	        98.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2719732	       430.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2927137	       457.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3019056	       472.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2966490	       436.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2957634	       437.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 3018825	       440.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2900271	       452.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2904802	       459.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2958345	       480.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/1/ComputeAggregation-8            	 2920442	       450.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	  960747	      1179 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1220 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1203 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1144 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1191 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1147 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1195 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1149 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/Measure-8                      	 1000000	      1186 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  589666	      2126 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  629466	      2087 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  641794	      2206 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  615694	      2107 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  640011	      2202 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  633723	      2210 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  615567	      2071 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  636790	      2133 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  596880	      2095 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/10/ComputeAggregation-8           	  521450	      2152 ns/op	    1056 B/op	       2 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  106014	     12437 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  107220	     11444 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  110198	     12084 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  108632	     11878 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  113619	     11452 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  103714	     11544 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  109160	     11999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  107444	     11783 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Float64/Delta/100/Measure-8                     	  110697	     11577 ns/op	       0 B/op	       0 allocs/op
